route_id,service_id,trip_id,departure_time
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-42,13:24:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-43,14:24:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-44,15:24:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-45,16:24:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-46,10:36:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-47,11:36:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-48,12:36:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-49,13:36:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-50,14:36:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-51,15:36:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-52,16:36:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-53,10:48:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-54,11:48:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-55,12:48:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-56,13:48:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-57,14:48:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-58,15:48:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-59,16:48:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-60,17:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-61,17:15:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-62,17:30:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-63,17:45:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-64,18:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-65,18:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-66,18:20:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-67,18:40:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-68,19:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-69,19:20:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-70,19:40:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-71,20:00:00
mor-ring,weekdays,mor-ring-0,20:30:00
mor-ring,weekdays,mor-ring-1,23:10:00
mor-ring,weekdays,mor-ring-2,21:10:00
mor-ring,weekdays,mor-ring-3,23:50:00
mor-ring,weekdays,mor-ring-4,21:50:00
mor-ring,weekdays,mor-ring-5,00:30:00
mor-ring,weekdays,mor-ring-6,22:30:00
turkuaz-ring,weekdays,turkuaz-ring-0,08:25:00
turuncu-ring,weekdays,turuncu-ring-0,08:05:00
turuncu-ring,weekdays,turuncu-ring-1,08:10:00
turuncu-ring,weekdays,turuncu-ring-2,08:15:00
turuncu-ring,weekdays,turuncu-ring-3,08:20:00
turuncu-ring,weekdays,turuncu-ring-4,08:25:00
turuncu-ring,weekdays,turuncu-ring-5,08:30:00
turuncu-ring,weekdays,turuncu-ring-6,08:35:00
turuncu-ring,weekdays,turuncu-ring-7,08:40:00
gri-ring-gunduz,weekend,gri-ring-gunduz-0,08:30:00
gri-ring-gunduz,weekend,gri-ring-gunduz-1,09:30:00
gri-ring-gunduz,weekend,gri-ring-gunduz-2,10:30:00
gri-ring-gunduz,weekend,gri-ring-gunduz-3,11:30:00
gri-ring-gunduz,weekend,gri-ring-gunduz-4,12:30:00
gri-ring-gunduz,weekend,gri-ring-gunduz-5,13:30:00
gri-ring-gunduz,weekend,gri-ring-gunduz-6,14:30:00
gri-ring-gunduz,weekend,gri-ring-gunduz-7,15:30:00
gri-ring-gunduz,weekend,gri-ring-gunduz-8,16:30:00
gri-ring-gunduz,weekend,gri-ring-gunduz-9,17:30:00
gri-ring-gunduz,weekend,gri-ring-gunduz-10,18:30:00
gri-ring-aksam,weekend,gri-ring-aksam-0,19:30:00
gri-ring-aksam,weekend,gri-ring-aksam-1,20:30:00
gri-ring-aksam,weekend,gri-ring-aksam-2,21:30:00
gri-ring-aksam,weekend,gri-ring-aksam-3,22:30:00
gri-ring-aksam,weekend,gri-ring-aksam-4,23:30:00
sari-ring,weekdays,sari-ring-0,09:00:00
kirmizi-ring,weekdays,kirmizi-ring-0,09:00:00
sari-ring,weekdays,sari-ring-1,11:00:00
kirmizi-ring,weekdays,kirmizi-ring-1,11:00:00
sari-ring,weekdays,sari-ring-2,13:00:00
kirmizi-ring,weekdays,kirmizi-ring-2,13:00:00
sari-ring,weekdays,sari-ring-3,15:00:00
kirmizi-ring,weekdays,kirmizi-ring-3,15:00:00
sari-ring,weekdays,sari-ring-4,17:05:00
kirmizi-ring,weekdays,kirmizi-ring-4,17:05:00
sari-ring,weekdays,sari-ring-5,09:20:00
kirmizi-ring,weekdays,kirmizi-ring-5,09:20:00
sari-ring,weekdays,sari-ring-6,11:20:00
kirmizi-ring,weekdays,kirmizi-ring-6,11:20:00
sari-ring,weekdays,sari-ring-7,13:20:00
kirmizi-ring,weekdays,kirmizi-ring-7,13:20:00
sari-ring,weekdays,sari-ring-8,15:20:00
kirmizi-ring,weekdays,kirmizi-ring-8,15:20:00
sari-ring,weekdays,sari-ring-9,17:35:00
kirmizi-ring,weekdays,kirmizi-ring-9,17:35:00
sari-ring,weekdays,sari-ring-10,09:40:00
kirmizi-ring,weekdays,kirmizi-ring-10,09:40:00
sari-ring,weekdays,sari-ring-11,11:40:00
kirmizi-ring,weekdays,kirmizi-ring-11,11:40:00
sari-ring,weekdays,sari-ring-12,13:40:00
kirmizi-ring,weekdays,kirmizi-ring-12,13:40:00
sari-ring,weekdays,sari-ring-13,15:40:00
kirmizi-ring,weekdays,kirmizi-ring-13,15:40:00
sari-ring,weekdays,sari-ring-14,10:00:00
kirmizi-ring,weekdays,kirmizi-ring-14,10:00:00
sari-ring,weekdays,sari-ring-15,12:00:00
kirmizi-ring,weekdays,kirmizi-ring-15,12:00:00
sari-ring,weekdays,sari-ring-16,14:00:00
kirmizi-ring,weekdays,kirmizi-ring-16,14:00:00
sari-ring,weekdays,sari-ring-17,16:00:00
kirmizi-ring,weekdays,kirmizi-ring-17,16:00:00
sari-ring,weekdays,sari-ring-18,10:20:00
kirmizi-ring,weekdays,kirmizi-ring-18,10:20:00
sari-ring,weekdays,sari-ring-19,12:20:00
kirmizi-ring,weekdays,kirmizi-ring-19,12:20:00
sari-ring,weekdays,sari-ring-20,14:20:00
kirmizi-ring,weekdays,kirmizi-ring-20,14:20:00
sari-ring,weekdays,sari-ring-21,16:20:00
kirmizi-ring,weekdays,kirmizi-ring-21,16:20:00
sari-ring,weekdays,sari-ring-22,10:40:00
kirmizi-ring,weekdays,kirmizi-ring-22,10:40:00
sari-ring,weekdays,sari-ring-23,12:40:00
kirmizi-ring,weekdays,kirmizi-ring-23,12:40:00
sari-ring,weekdays,sari-ring-24,14:40:00
kirmizi-ring,weekdays,kirmizi-ring-24,14:40:00
sari-ring,weekdays,sari-ring-25,16:40:00
kirmizi-ring,weekdays,kirmizi-ring-25,16:40:00
